path	mouse	tumour	chain
Translated/dcr_ARI_Balb_c_B1_1_alpha.tsv	BALBC	B1	alpha
Translated/dcr_ARI_Balb_c_B1_1_beta.tsv	BALBC	B1	beta
Translated/dcr_ARI_Balb_c_B2_1_alpha.tsv	BALBC	B2	alpha
Translated/dcr_ARI_Balb_c_B2_1_beta.tsv	BALBC	B2	beta
Translated/dcr_ARI_CBA_B1_1_alpha.tsv	CBA	B1	alpha
Translated/dcr_ARI_CBA_B1_1_beta.tsv	CBA	B1	beta
Translated/dcr_ARI_CBA_B3_1_alpha.tsv	CBA	B3	alpha
Translated/dcr_ARI_CBA_B3_1_beta.tsv	CBA	B3	beta
Translated/dcr_ARI_F0_B1_1_alpha.tsv	F0	B1	alpha
Translated/dcr_ARI_F0_B1_1_beta.tsv	F0	B1	beta
Translated/dcr_ARI_F0_B2_1_alpha.tsv	F0	B2	alpha
Translated/dcr_ARI_F0_B2_1_beta.tsv	F0	B2	beta
Translated/dcr_ARI_F0_B3_1_alpha.tsv	F0	B3	alpha
Translated/dcr_ARI_F0_B3_1_beta.tsv	F0	B3	beta
Translated/dcr_ARI_N2_1_B1_1_alpha.tsv	N2	B1	alpha
Translated/dcr_ARI_N2_1_B1_1_beta.tsv	N2	B1	beta
Translated/dcr_ARI_N2_1_B2_1_alpha.tsv	N2	B2	alpha
Translated/dcr_ARI_N2_1_B2_1_beta.tsv	N2	B2	beta
Translated/dcr_ARI_N2_1_B3_1_alpha.tsv	N2	B3	alpha
Translated/dcr_ARI_N2_1_B3_1_beta.tsv	N2	B3	beta
TCRseq/Ari_mouse_samples/dcr_MEV_Balb_c_B3_1_alpha.tsv.gz	BALBC	B3	alpha
TCRseq/Ari_mouse_samples/dcr_MEV_Balb_c_B3_1_beta.tsv.gz	BALBC	B3	beta
TCRseq/Ari_mouse_samples/dcr_MEV_CBA_B2_1_alpha.tsv.gz	CBA	B2	alpha
TCRseq/Ari_mouse_samples/dcr_MEV_CBA_B2_1_beta.tsv.gz	CBA	B2	beta
TCRseq/Ari_mouse_samples/dcr_MEV_N2_1_B2_1_alpha.tsv.gz	N2	B2	alpha
TCRseq/Ari_mouse_samples/dcr_MEV_N2_1_B2_1_beta.tsv.gz	N2	B2	beta
TCRseq/Ari_mouse_samples/dcr_MEV_N2_1_B3_1_alpha.tsv.gz	N2	B3	alpha
TCRseq/Ari_mouse_samples/dcr_MEV_N2_1_B3_1_beta.tsv.gz	N2	B3	beta
